time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_x_Nm,torque_y_Nm,torque_z_Nm
82.80000000000001,-7.079440987568755e-05,-0.00011585010534533354,-1.4559365649749728e-08,-3.7510051773132554e-06,5.378898411641061e-05,1.5404685393011346e-06,6.514026310305254e-05,-1.0774337519228673e-05,-3.0215919004496193e-06
82.9,-7.11053728551637e-05,-0.00011048362183698961,1.3565087629776064e-07,-3.10962979476149e-06,5.366483508343932e-05,1.5021024194751037e-06,6.413753825517655e-05,-1.4897883956554387e-05,-3.0692895860824694e-06
83.0,-7.13532322767662e-05,-0.00010513292397256008,2.819702113202855e-07,-2.4785942160249507e-06,5.350697864429527e-05,1.4631933502252486e-06,6.310355787365394e-05,-1.8942772697286956e-05,-3.1127255399884157e-06
83.10000000000001,-7.153905192411523e-05,-9.980131578988934e-05,4.2434959275592694e-07,-1.858196473490322e-06,5.331608182670741e-05,1.4237938143564146e-06,6.203977425346286e-05,-2.290761811054246e-05,-3.1519628695067255e-06
83.2,-7.166392393697799e-05,-9.449203353306985e-05,5.627451400629214e-07,-1.2487201286275938e-06,5.3092822568194886e-05,1.383955473069945e-06,6.0947634486272825e-05,-2.6791111021503346e-05,-3.1870673029175706e-06
83.30000000000001,-7.172896737043391e-05,-8.920824462484198e-05,6.971180535471781e-07,-6.50434334559218e-07,5.283788908227877e-05,1.3437291348425671e-06,5.9828579406837576e-05,-3.0592018309933886e-05,-3.2181070581902272e-06
83.4,-7.173532676132437e-05,-8.395304670200134e-05,8.274345261407812e-07,-6.35939089045623e-08,5.25519792284064e-05,1.3031647259360312e-06,5.8684042565465566e-05,-3.4309182464683946e-05,-3.2451527125228767e-06
83.5,-7.168417070298796e-05,-7.872946671340672e-05,9.536656523934035e-07,5.11560583364124e-07,5.22357998859463e-05,1.2623112625262226e-06,5.751544922686862e-05,-3.794152109521172e-05,-3.2682770727846875e-06
83.60000000000001,-7.157669042925589e-05,-7.354046008014639e-05,1.0757873348373168e-06,1.074802737320745e-06,5.189006633260324e-05,1.221216824439133e-06,5.632421539566212e-05,-4.148802640116723e-05,-3.287555046967168e-06
83.7,-7.141409840865505e-05,-6.838890991738697e-05,1.1937801878852948e-06,1.6259202060083774e-06,5.151550162759416e-05,1.1799285304797813e-06,5.511174686876323e-05,-4.494776460108937e-05,-3.3030635167481194e-06
83.80000000000001,-7.11976269497393e-05,-6.327762631739528e-05,1.3076294394191883e-06,2.1647145891574504e-06,5.1112835999916836e-05,1.138492515338934e-06,5.387943831490729e-05,-4.8319875321278746e-05,-3.3148812112677987e-06
83.9,-7.092852681844208e-05,-5.8209345693191864e-05,1.4173248302253153e-06,2.6910013129722158e-06,5.068280624203419e-05,1.0969539080612688e-06,5.2628672381476544e-05,-5.1603570945917443e-05,-3.3230885822132184e-06
84.0,-7.060806586831605e-05,-5.3186730182263044e-05,1.5228605114310636e-06,3.2046095012603083e-06,5.022615510928823e-05,1.0553568120574838e-06,5.136081882880924e-05,-5.479813592951488e-05,-3.32776768030279e-06
84.10000000000001,-7.023752768449789e-05,-4.8212367109728194e-05,1.6242349400952372e-06,3.7053818381816307e-06,4.974363072534851e-05,1.0137442866417361e-06,5.007723369213222e-05,-5.790292607276602e-05,-3.3290020332598188e-06
84.2,-6.981821024220849e-05,-4.328876851032911e-05,1.7214507731027112e-06,4.193174422893981e-06,4.923598599399089e-05,9.721583300747403e-07,4.877925847123505e-05,-6.091736776291446e-05,-3.326876525359662e-06
84.30000000000001,-6.935142458057111e-05,-3.8418370708579784e-05,1.8145147595118957e-06,4.667856616373769e-06,4.8703978017493236e-05,9.306398640918446e-07,4.7468219347978834e-05,-6.384095717971849e-05,-3.3214772786316497e-06
84.4,-6.883849349250202e-05,-3.3603533956387226e-05,1.9034376315013386e-06,5.129310880690863e-06,4.8148367521925545e-05,8.892287198944295e-07,4.614542643170935e-05,-6.667325946812264e-05,-3.312891535793206e-06
84.5,-6.828075023140032e-05,-2.8846542127426956e-05,1.988233994059544e-06,5.577432611017062e-06,4.75699182896027e-05,8.479636255820554e-07,4.481217303261989e-05,-6.941390787874131e-05,-3.30120754498993e-06
84.60000000000001,-6.767953723533554e-05,-2.4149602467531072e-05,2.068922213559735e-06,6.012129960647923e-06,4.696939659895884e-05,8.068821950019085e-07,4.346973496308614e-05,-7.206260287726383e-05,-3.286514446411746e-06
84.7,-6.703620486940378e-05,-1.9514845400321765e-05,2.145524305358861e-06,6.4333236593176495e-06,4.6347570672093065e-05,7.660209179912635e-07,4.211936986697259e-05,-7.461911122389282e-05,-3.2689021608516048e-06
84.80000000000001,-6.635211018689512e-05,-1.4944324387299067e-05,2.2180658205576506e-06,6.840946825086527e-06,4.570521013022699e-05,7.254151519878933e-07,4.0762316576887725e-05,-7.708326502392871e-05,-3.248461280269616e-06
84.9,-6.562861570988713e-05,-1.0440015841568547e-05,2.2865757320559125e-06,7.234944770079958e-06,4.50430854573052e-05,6.850991149826195e-07,3.9399794499343045e-05,-7.945496075061473e-05,-3.2252829604219074e-06
