time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_cmd_x_Nm,torque_cmd_y_Nm,torque_cmd_z_Nm,torque_applied_x_Nm,torque_applied_y_Nm,torque_applied_z_Nm,pointing_error_rad,torque_limited_sample,saturation_events_so_far,health_state
84.0,-9.786535753596457e-05,-0.00014884825301404982,-3.694462502761771e-05,-3.429046760012529e-05,6.073105258323476e-05,1.7550553375035102e-05,0.0002779526,-0.0012686565,6.34806e-05,0.0002779526,-0.0012686565,6.34806e-05,0.00018192948070449726,0,2,OK
84.10000000000001,-0.0001013066582649771,-0.000143212872034893,-3.479021978511419e-05,-3.40719239001253e-05,5.5250195083234765e-05,2.1577079875035104e-05,0.0014998527,0.0003148203,7.63338e-05,0.0014998527,0.0003148203,7.63338e-05,0.00017883882441459975,0,2,OK
84.2,-0.00010460123161298962,-0.00013777106123573623,-3.3324427393860674e-05,-3.156846070012532e-05,5.213207891656811e-05,1.1712499000035103e-05,0.0016008479,-0.0024634205,-0.0002873233,0.0016008479,-0.0024634205,-0.0002873233,0.00017616129095264933,0,2,OK
84.3,-0.00010736453827300216,-0.00013227836289241273,-3.2617245240107155e-05,-2.2431539700125325e-05,5.731750674990145e-05,4.848439500035103e-06,0.0025982733,-0.0017199715,0.0005326565,0.0025982733,-0.0017199715,0.0005326565,0.0001734606412277006,0,2,OK
84.4,-0.0001092406134230147,-0.00012656843611575592,-3.240128751760364e-05,-1.9233657700125322e-05,5.6944893583234766e-05,1.2077620000351046e-06,0.0009270525,-0.0007321549,0.0008098057,0.0009270525,-0.0007321549,0.0008098057,0.00017030244882156905,0,2,OK
84.5,-0.00011055864908802723,-0.0001212607131649324,-3.2455874246350125e-05,-1.1150882200125321e-05,4.7202588833234775e-05,-2.439135124964895e-06,-0.0019061008,-0.0015476626,0.0002372232,-0.0019061008,-0.0015476626,0.0002372232,0.00016727450259538195,0,2,OK
84.60000000000001,-0.00011166343366603976,-0.00011658363118994224,-3.2397355778846605e-05,-1.0487358300125319e-05,4.7103337916568106e-05,-3.7784012496489517e-07,0.0008826725,0.0007013037,0.0002926848,0.0008826725,0.0007013037,0.0002926848,0.00016465131077821304,0,2,OK
84.7,-0.00011259436145005229,-0.00011185781992495211,-3.260002901884308e-05,-6.30417760012532e-06,4.769461758323477e-05,-4.392195249964894e-06,-0.0002278746,0.0003809357,0.0003211973,-0.0002278746,0.0003809357,0.0003211973,0.00016202599791619073,0,2,OK
84.8,-0.00011349373697506482,-0.00010723365762996196,-3.303071015633958e-05,-1.302110660012532e-05,4.2608247666568104e-05,-3.193541499964895e-06,-0.0001746394,-0.0019550632,0.0017061215,-0.0001746394,-0.0019550632,0.0017061215,0.00015959609479776504,0,2,OK
84.9,-0.00011456542785707735,-0.00010293870177080513,-3.326615759133607e-05,-1.1573890000125317e-05,4.4987776249901436e-05,-2.8884083749648945e-06,-0.0024782996,0.0001420671,-0.0001747214,-0.0024782996,0.0001420671,-0.0001747214,0.00015756982840387166,0,2,OK
